Profit_thousands,Profit_dollars,MarketSpend_thousands,MarketSpend_dollars,EmployeeOverhead,RnDSpend_dollars,SalesVolume,AdImpressions,TrainingHours,Temperature
311.83555,311835.55,111.96368,111963.68,50.30787,33091.97,364,1925,61.4,57
420.304,420304,115.14884,115148.84,50.68092,58478.04,389,4999,94.6,22.1
304.07062,304070.62,106.81817,106818.17,58.72308,42471.75,313,3851,44.4,96.5
324.69967,324699.67,113.42286,113422.86,50.93435,71250.10,354,2108,99.7,67.6
183.09705,183097.05,105.7243,105724.3,62.16952,29656.39,369,4197,29.8,36.7
475.67467,475674.67,134.77695,134776.95,41.874,67019.05,425,4999,59.8,84
95.51573,95515.73,87.51027,87510.27,68.18962,38460.93,190,1412,74.8,62.1
-46.42001,-46420.01,50.09599,50095.99,82.14459,39813.10,101,2453,72.1,41.1
404.36216,404362.16,145.36895,145368.95,40.07056,59526.32,426,3100,61.2,24.4
497.38084,497380.84,149.65839,149658.39,37.38843,47430.38,499,3662,50.8,80.2
292.45632,292456.32,117.44202,117442.02,65.14972,34160.97,280,3465,99.9,47.4
266.53736,266537.36,99.19518,99195.18,56.12701,56312.42,408,3240,69.1,42.5
237.23744,237237.44,79.66549,79665.49,60.78181,54804.61,250,4817,56,98.1
193.34744,193347.44,106.20927,106209.27,53.41113,41518.57,266,3510,32.9,54.4
120.55912,120559.12,65.55052,65550.52,78.54449,36775.01,211,1734,29.3,56.3
216.5219,216521.9,117.99108,117991.08,46.3832,32546.02,302,2235,66.8,68.7
-48.4832,-48483.2,65.34849,65348.49,84.88195,27416.38,173,1001,20.3,60
138.78986,138789.86,96.72262,96722.62,68.91602,15021.07,277,1669,48.5,61.3
323.19686,323196.86,113.45703,113457.03,49.30822,55612.37,312,4059,71.9,45.1
384.27138,384271.38,133.05615,133056.15,59.66186,69968.66,421,3668,87.4,37.1
224.9115,224911.5,109.88786,109887.86,56.87679,29289.78,318,1838,49.3,54.1
235.0978,235097.8,99.95926,99959.26,53.26748,49608.32,297,3083,36.6,50.2
499.91357,499913.57,149.87553,149875.53,37.67617,63568.22,449,2173,58.7,72.9
370.30849,370308.49,121.24334,121243.34,48.33157,47995.06,260,3176,61.7,41.5
196.33429,196334.29,121.52334,121523.34,63.50817,46179.11,242,3392,61.4,30.7
252.46337,252463.37,104.53238,104532.38,59.0332,57613.24,372,4096,40.4,64.5
361.26879,361268.79,114.44291,114442.91,39.39951,61105.46,426,3333,39.8,60.5
498.46232,498462.32,149.58575,149585.75,35.53048,62583.76,499,3432,71,70.8
393.69785,393697.85,124.33409,124334.09,33.54487,49013.85,438,2424,84.3,83.6
1.90733,1907.33,60.57232,60572.32,84.68037,37288.18,143,3614,39.7,61.4
151.70749,151707.49,99.84686,99846.86,72.53879,40876.44,250,3239,79.9,29.8
173.20881,173208.81,82.73655,82736.55,55.21521,24961.28,247,2016,94.8,40.1
278.50362,278503.62,108.40697,108406.97,47.13535,40541.51,316,3858,50,56.3
451.74365,451743.65,139.82443,139824.43,52.8061,63155.35,429,4999,84.1,49
60.39049,60390.49,63.8662,63866.2,80.97158,40896.33,202,1687,56.6,47.4
218.51013,218510.13,93.7628,93762.8,71.07528,55849.81,258,4999,47.5,60
313.30272,313302.72,129.02501,129025.01,57.50062,47165.35,328,4130,95.3,44
73.81667,73816.67,87.42381,87423.81,74.74055,44138.75,178,3653,47.8,69.3
125.83363,125833.63,82.70542,82705.42,71.37142,46065.74,219,2073,58.6,74.6
172.51602,172516.02,92.59127,92591.27,59.84174,37350.53,249,4200,51.1,49.7
-47.73789,-47737.89,67.78233,67782.33,77.48826,38807.20,219,1900,85.2,61.1
195.03772,195037.72,112.72697,112726.97,53.83924,45861.41,239,3571,45.8,55
430.55352,430553.52,117.67008,117670.08,38.41435,75994.57,471,2551,87,56.8
216.3867,216386.7,93.55637,93556.37,60.0352,47896.40,366,3322,61.2,57
204.48519,204485.19,81.94536,81945.36,72.44103,49889.97,255,2244,68.3,42.2
152.94832,152948.32,87.07515,87075.15,53.08569,34700.00,317,2869,56.8,69.6
158.89552,158895.52,78.61287,78612.87,62.95985,60469.43,235,2862,33.7,45.9
